ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
32,Obolon-Brovar Kiev - FC Naftovyk-Ukrnafta,"09/08/2016, 15:30",50.0,33.0,18.0,2.09,3.33,3.66,0:3,1.04,1.09,0.65,47.7,30.0,27.3,2.23,2.99,-9.3
33,Staal Jorpeland - Froyland,"09/08/2016, 16:00",70.0,14.0,16.0,1.26,8.07,7.31,3:1,0.88,1.13,1.17,78.9,12.3,13.6,-8.9,1.61,2.33
34,FC Infonet II - Tartu FC Santos,"09/08/2016, 16:00",60.0,13.0,27.0,1.61,4.97,4.58,3:2,0.96,0.64,1.23,61.9,20.0,21.8,-1.9,-7.0,5.18
35,Real Aviles CF - UP Langreo,"09/08/2016, 16:00",63.0,24.0,14.0,1.73,3.84,4.87,2:1,1.09,0.92,0.68,57.6,25.9,20.5,5.39,-1.9,-6.5
36,Sharjah FC - EMIRATES CLUB RAS AL KHAIMAH,"09/08/2016, 16:30",64.0,19.0,17.0,1.64,4.04,4.83,5:1,1.05,0.76,0.82,60.6,24.7,20.6,3.3,-5.7,-3.6
37,Al Wahda SCC - Al Dhafra,"09/08/2016, 16:30",52.0,26.0,22.0,1.88,3.87,3.71,2:4,0.97,1.0,0.81,53.1,25.8,26.9,-1.1,0.18,-4.9
38,FK Spyris Kaunas - Lietava Jonava,"09/08/2016, 16:30",42.0,28.0,31.0,2.28,3.63,3.04,0:1,0.96,1.01,0.94,43.7,27.4,32.8,-1.7,0.51,-1.8
39,SD Huesca - Girona FC,"09/08/2016, 17:00",22.0,41.0,38.0,3.45,3.28,2.58,1:0,0.75,1.34,0.98,28.9,30.4,38.6,-6.9,10.5,-0.6
40,SV Mattersburg (A) - SV Marsch Neuberg,"09/08/2016, 17:00",69.0,12.0,19.0,1.35,5.88,7.46,2:0,0.93,0.7,1.41,73.9,17.0,13.3,-4.9,-5.0,5.6
41,Sindri - IF Vestri,"09/08/2016, 17:30",60.0,16.0,24.0,2.35,4.16,2.64,3:1,1.41,0.66,0.63,42.4,24.0,37.8,17.5,-8.0,-13.0
42,FC Botosani - Steaua Bucuresti,"09/08/2016, 17:30",16.0,25.0,59.0,4.71,3.46,1.85,0:2,0.75,0.86,1.09,21.2,28.8,53.8,-5.2,-3.8,5.18
43,Ucam Murcia - Real Oviedo,"09/08/2016, 18:00",33.0,39.0,28.0,2.72,3.33,3.18,3:3,0.89,1.29,0.89,36.6,30.0,31.3,-3.6,8.99,-3.3
44,CR Belouizdad - JS Saoura,"09/08/2016, 18:00",49.0,35.0,16.0,1.76,3.44,5.41,1:0,0.86,1.2,0.86,56.5,29.0,18.4,-7.5,5.94,-2.4
45,Villa San Carlos - Deportivo Riestra,"09/08/2016, 18:30",34.0,36.0,30.0,2.25,3.4,3.43,0:1,0.76,1.22,1.02,44.3,29.3,29.1,-10.0,6.63,0.84
46,Alcorcon AD - Getafe CF,"09/08/2016, 20:00",26.0,41.0,33.0,3.29,3.18,2.76,1:0,0.85,1.3,0.91,30.3,31.3,36.2,-4.3,9.63,-3.2
0,Corinthians SP - Sport Recife PE,"09/08/2016, 22:30",64.0,21.0,15.0,1.52,4.48,8.05,3:0,0.97,0.94,1.2,65.4,22.3,12.4,-1.4,-1.3,2.59
1,Internacional RS - Santos SP,"09/09/2016, 00:00",42.0,37.0,21.0,2.16,3.52,3.92,2:1,0.9,1.3,0.82,46.2,28.3,25.4,-4.2,8.65,-4.4
2,America Mineiro MG - Cruzeiro MG,"09/09/2016, 00:00",15.0,34.0,52.0,4.83,3.73,1.9,0:2,0.72,1.27,0.98,20.6,26.7,52.5,-5.6,7.23,-0.5
3,Deportivo La Equidad - Independiente Santa Fe,"09/09/2016, 00:45",23.0,38.0,40.0,3.53,3.22,2.22,0:2,0.81,1.22,0.89,28.2,31.0,44.8,-5.2,6.98,-4.8
4,CD Olimpia - CD Motagua,"09/09/2016, 01:00",40.0,38.0,22.0,2.09,3.38,3.76,3:1,0.83,1.28,0.82,47.7,29.5,26.5,-7.7,8.42,-4.5
5,PSM Makassar - Semen Padang,"09/09/2016, 08:00",31.0,24.0,45.0,3.17,3.53,2.16,3:2,0.98,0.84,0.97,31.4,28.2,46.2,-0.4,-4.2,-1.2
6,FK Rostov Youth - Samara Kryliya Sovetov Youth,"09/09/2016, 09:00",63.0,16.0,21.0,1.68,4.06,4.59,2:0,1.05,0.64,0.96,59.5,24.6,21.7,3.5,-8.6,-0.7
7,Albirex Niigata FC - Balestier Khalsa FC,"09/09/2016, 11:30",70.0,22.0,8.0,1.28,6.17,9.84,1:0,0.9,1.35,0.78,77.6,16.1,10.1,-7.6,5.8,-2.1
8,Chongqing Lifan - Yanbian,"09/09/2016, 11:35",51.0,26.0,24.0,1.86,3.93,4.54,2:1,0.95,1.02,1.09,53.4,25.4,21.9,-2.4,0.59,2.0
9,Shanghai SIPG - Beijing Guoan FC,"09/09/2016, 11:35",47.0,31.0,22.0,1.89,3.79,4.61,2:2,0.88,1.17,1.01,52.8,26.3,21.6,-5.8,4.67,0.3
10,Hong Kong FC - Wofoo Tai Po,"09/09/2016, 12:00",22.0,15.0,63.0,4.37,4.5,1.63,1:2,0.96,0.67,1.03,22.8,22.1,61.1,-0.8,-7.1,1.89
11,FC Chelyabinsk - FC Lada Togliatti,"09/09/2016, 12:30",60.0,26.0,14.0,1.42,4.49,8.43,6:0,0.85,1.16,1.18,69.9,22.2,11.8,-9.9,3.74,2.14
12,MFK Vitkovice - FK Varnsdorf,"09/09/2016, 13:00",59.0,24.0,17.0,2.02,3.57,3.88,2:3,1.19,0.85,0.66,49.3,27.9,25.7,9.64,-3.9,-8.7
13,Gostaresh Foolad FC - Siah Jamegan,"09/09/2016, 13:00",56.0,31.0,13.0,1.8,3.17,5.2,0:1,1.0,0.98,0.67,55.4,31.4,19.2,0.52,-0.4,-6.2
14,Johor D. T. FC - Terengganu,"09/09/2016, 13:00",78.0,18.0,4.0,1.15,7.4,25.0,3:0,0.9,1.33,1.0,86.2,13.5,3.98,-8.2,4.49,0.01
15,Ironi Nesher - Maccabi Herzliya,"09/09/2016, 13:00",21.0,52.0,27.0,3.08,3.45,2.35,1:0,0.64,1.79,0.63,32.4,28.9,42.4,-11.0,23.0,-15.0
16,Hapoel Jerusalem - Hapoel Bnei Lod Rakevet,"09/09/2016, 13:00",30.0,47.0,23.0,2.67,3.36,2.7,3:2,0.8,1.58,0.62,37.3,29.6,37.0,-7.3,17.3,-14.0
17,Hapoel Nazrat Elit - Beitar Tel Aviv Ramla,"09/09/2016, 13:00",26.0,33.0,42.0,2.44,3.4,2.94,0:2,0.63,1.12,1.23,40.8,29.3,33.9,-14.0,3.63,8.09
18,Stal Dniprodzerzhynsk - Dnipro Dni U19,"09/09/2016, 13:00",16.0,14.0,70.0,4.13,4.87,1.68,1:3,0.66,0.68,1.17,24.1,20.5,59.5,-8.1,-6.5,10.5
19,FC Chayka Peschanokopskoye - FK Angusht Nazran,"09/09/2016, 13:30",58.0,23.0,20.0,1.76,3.72,4.87,1:1,1.02,0.85,0.97,56.5,26.8,20.5,1.47,-3.8,-0.5
